type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	exp	method	sample	region	eval	min.cov
DEL	2096	1883	863	1351	0.7083	0.5823	0.6391	0	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	2096	1883	863	4865	0.7083	0.279	0.4003	2	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	2	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	2096	1883	863	1351	0.7083	0.5823	0.6391	2	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	2096	1883	863	4865	0.7083	0.279	0.4003	3	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	3	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	2096	1883	863	1351	0.7083	0.5823	0.6391	3	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	2096	1883	863	4865	0.7083	0.279	0.4003	4	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	4	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	2096	1883	863	1351	0.7083	0.5823	0.6391	4	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	2090	1877	862	4871	0.708	0.2782	0.3994	5	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	5	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	2090	1877	862	1357	0.708	0.5804	0.6379	5	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	2080	1868	860	4880	0.7075	0.2768	0.3979	7	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	7	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	2080	1868	860	1366	0.7075	0.5776	0.636	7	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	2069	1857	857	4891	0.7071	0.2752	0.3962	10	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	10	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	2069	1857	857	1377	0.7071	0.5742	0.6338	10	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	2069	1857	857	4891	0.7071	0.2752	0.3962	12	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	12	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	2069	1857	857	1377	0.7071	0.5742	0.6338	12	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	2063	1851	855	4897	0.707	0.2743	0.3953	14	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	14	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	2063	1851	855	1383	0.707	0.5724	0.6326	14	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	2033	1821	843	4927	0.7069	0.2699	0.3906	21	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	21	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	2033	1821	843	1413	0.7069	0.5631	0.6269	21	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	2005	1793	837	4955	0.7055	0.2657	0.386	27	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	27	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	2005	1793	837	1441	0.7055	0.5544	0.6209	27	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	1968	1757	824	4991	0.7049	0.2604	0.3803	35	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	35	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	1968	1757	824	1477	0.7049	0.5433	0.6136	35	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	1929	1718	808	5030	0.7048	0.2546	0.3741	45	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	45	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	1929	1718	808	1516	0.7048	0.5312	0.6058	45	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	1910	1699	798	5049	0.7053	0.2518	0.3711	50	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	50	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	1910	1699	798	1535	0.7053	0.5254	0.6022	50	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	1859	1651	779	5097	0.7047	0.2447	0.3633	60	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	60	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	1859	1651	779	1583	0.7047	0.5105	0.5921	60	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	1784	1583	755	5165	0.7026	0.2346	0.3517	75	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	75	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	1784	1583	755	1651	0.7026	0.4895	0.577	75	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	1709	1512	724	5236	0.7024	0.2241	0.3398	90	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	90	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	1709	1512	724	1722	0.7024	0.4675	0.5614	90	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	1684	1488	716	5260	0.7017	0.2205	0.3356	99	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	99	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	1684	1488	716	1746	0.7017	0.4601	0.5558	99	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	1650	1454	701	5294	0.7018	0.2155	0.3297	110	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	110	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	1650	1454	701	1780	0.7018	0.4496	0.5481	110	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	1566	1373	660	5375	0.7035	0.2035	0.3157	133	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	133	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	1566	1373	660	1861	0.7035	0.4246	0.5296	133	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	1439	1261	612	5487	0.7016	0.1869	0.2952	167	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	167	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	1439	1261	612	1973	0.7016	0.3899	0.5012	167	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	1367	1202	590	5546	0.6985	0.1781	0.2838	180	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	180	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	1367	1202	590	2032	0.6985	0.3717	0.4852	180	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	1125	977	500	5771	0.6923	0.1448	0.2395	250	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	250	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	1125	977	500	2257	0.6923	0.3021	0.4206	250	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	829	698	384	6050	0.6834	0.1034	0.1796	350	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	350	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	829	698	384	2536	0.6834	0.2158	0.328	350	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	601	485	284	6263	0.6791	0.0719	0.13	450	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	450	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	601	485	284	2749	0.6791	0.15	0.2457	450	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	463	357	185	6391	0.7145	0.0529	0.0985	550	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	550	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	463	357	185	2877	0.7145	0.1104	0.1912	550	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	365	267	122	6481	0.7495	0.0396	0.0752	650	hgsvc	svtyper	NA19240	nonrep	geno	0.9
INS	0	0	0	3514	NA	0	NA	650	hgsvc	svtyper	NA19240	nonrep	geno	0.9
DEL	365	267	122	2967	0.7495	0.0826	0.1488	650	hgsvc	svtyper	NA19240	nonrep	geno	0.9
Total	18911	19104	6471	9980	0.7451	0.6569	0.6982	0	hgsvc	vg	HG00514	all	call	0.9
INS	12221	11584	3966	5927	0.755	0.6615	0.7052	0	hgsvc	vg	HG00514	all	call	0.9
DEL	6690	7520	2505	4053	0.7276	0.6498	0.6865	0	hgsvc	vg	HG00514	all	call	0.9
Total	15528	16119	5043	12965	0.7548	0.5542	0.6391	2	hgsvc	vg	HG00514	all	call	0.9
INS	9690	9454	3030	8057	0.7618	0.5399	0.6319	2	hgsvc	vg	HG00514	all	call	0.9
DEL	5838	6665	2013	4908	0.7436	0.5759	0.6491	2	hgsvc	vg	HG00514	all	call	0.9
Total	12731	13463	3784	15621	0.7709	0.4629	0.5785	3	hgsvc	vg	HG00514	all	call	0.9
INS	7693	7629	2288	9882	0.7708	0.4357	0.5567	3	hgsvc	vg	HG00514	all	call	0.9
DEL	5038	5834	1496	5739	0.771	0.5041	0.6096	3	hgsvc	vg	HG00514	all	call	0.9
Total	10236	11044	2805	18040	0.7849	0.3797	0.5118	4	hgsvc	vg	HG00514	all	call	0.9
INS	5997	6025	1718	11486	0.7773	0.3441	0.477	4	hgsvc	vg	HG00514	all	call	0.9
DEL	4239	5019	1087	6554	0.7959	0.4337	0.5615	4	hgsvc	vg	HG00514	all	call	0.9
Total	8144	8961	2111	20123	0.7941	0.3081	0.444	5	hgsvc	vg	HG00514	all	call	0.9
INS	4644	4711	1302	12800	0.781	0.269	0.4002	5	hgsvc	vg	HG00514	all	call	0.9
DEL	3500	4250	809	7323	0.8123	0.3672	0.5058	5	hgsvc	vg	HG00514	all	call	0.9
Total	5415	6260	1288	22824	0.8078	0.2152	0.3399	7	hgsvc	vg	HG00514	all	call	0.9
INS	2983	3117	790	14394	0.7906	0.178	0.2906	7	hgsvc	vg	HG00514	all	call	0.9
DEL	2432	3143	498	8430	0.83	0.2716	0.4093	7	hgsvc	vg	HG00514	all	call	0.9
Total	3554	4340	708	24744	0.8339	0.1492	0.2531	10	hgsvc	vg	HG00514	all	call	0.9
INS	1762	1909	450	15602	0.7966	0.109	0.1918	10	hgsvc	vg	HG00514	all	call	0.9
DEL	1792	2431	258	9142	0.8741	0.2101	0.3388	10	hgsvc	vg	HG00514	all	call	0.9
Total	2921	3629	552	25455	0.8411	0.1248	0.2174	12	hgsvc	vg	HG00514	all	call	0.9
INS	1355	1478	359	16033	0.7905	0.0844	0.1525	12	hgsvc	vg	HG00514	all	call	0.9
DEL	1566	2151	193	9422	0.8903	0.1859	0.3076	12	hgsvc	vg	HG00514	all	call	0.9
Total	2389	2992	423	26092	0.8496	0.1029	0.1836	14	hgsvc	vg	HG00514	all	call	0.9
INS	1053	1149	275	16362	0.7929	0.0656	0.1212	14	hgsvc	vg	HG00514	all	call	0.9
DEL	1336	1843	148	9730	0.9003	0.1592	0.2706	14	hgsvc	vg	HG00514	all	call	0.9
Total	1120	1422	180	27662	0.8615	0.0489	0.0925	21	hgsvc	vg	HG00514	all	call	0.9
INS	445	474	120	17037	0.7876	0.0271	0.0524	21	hgsvc	vg	HG00514	all	call	0.9
DEL	675	948	60	10625	0.9184	0.0819	0.1504	21	hgsvc	vg	HG00514	all	call	0.9
Total	439	555	95	28529	0.8221	0.0191	0.0373	27	hgsvc	vg	HG00514	all	call	0.9
INS	188	205	63	17306	0.749	0.0117	0.023	27	hgsvc	vg	HG00514	all	call	0.9
DEL	251	350	32	11223	0.8869	0.0302	0.0584	27	hgsvc	vg	HG00514	all	call	0.9
Total	95	116	54	28968	0.6376	0.004	0.008	35	hgsvc	vg	HG00514	all	call	0.9
INS	40	43	38	17468	0.5128	0.0025	0.005	35	hgsvc	vg	HG00514	all	call	0.9
DEL	55	73	16	11500	0.7746	0.0063	0.0125	35	hgsvc	vg	HG00514	all	call	0.9
Total	35	41	36	29043	0.493	0.0014	0.0028	45	hgsvc	vg	HG00514	all	call	0.9
INS	14	16	25	17495	0.359	9e-04	0.0018	45	hgsvc	vg	HG00514	all	call	0.9
DEL	21	25	11	11548	0.6562	0.0022	0.0044	45	hgsvc	vg	HG00514	all	call	0.9
Total	26	30	32	29054	0.4483	0.001	0.002	50	hgsvc	vg	HG00514	all	call	0.9
INS	7	7	21	17504	0.25	4e-04	8e-04	50	hgsvc	vg	HG00514	all	call	0.9
DEL	19	23	11	11550	0.6333	0.002	0.004	50	hgsvc	vg	HG00514	all	call	0.9
Total	19	23	26	29061	0.4222	8e-04	0.0016	60	hgsvc	vg	HG00514	all	call	0.9
INS	6	6	17	17505	0.2609	3e-04	6e-04	60	hgsvc	vg	HG00514	all	call	0.9
DEL	13	17	9	11556	0.5909	0.0015	0.003	60	hgsvc	vg	HG00514	all	call	0.9
Total	14	17	20	29067	0.4118	6e-04	0.0012	75	hgsvc	vg	HG00514	all	call	0.9
INS	2	2	14	17509	0.125	1e-04	2e-04	75	hgsvc	vg	HG00514	all	call	0.9
DEL	12	15	6	11558	0.6667	0.0013	0.0026	75	hgsvc	vg	HG00514	all	call	0.9
Total	9	10	17	29074	0.3462	3e-04	6e-04	90	hgsvc	vg	HG00514	all	call	0.9
INS	2	2	12	17509	0.1429	1e-04	2e-04	90	hgsvc	vg	HG00514	all	call	0.9
DEL	7	8	5	11565	0.5833	7e-04	0.0014	90	hgsvc	vg	HG00514	all	call	0.9
Total	8	9	16	29075	0.3333	3e-04	6e-04	99	hgsvc	vg	HG00514	all	call	0.9
INS	2	2	11	17509	0.1538	1e-04	2e-04	99	hgsvc	vg	HG00514	all	call	0.9
DEL	6	7	5	11566	0.5455	6e-04	0.0012	99	hgsvc	vg	HG00514	all	call	0.9
Total	6	7	15	29077	0.2857	2e-04	4e-04	110	hgsvc	vg	HG00514	all	call	0.9
INS	0	0	11	17511	0	0	NA	110	hgsvc	vg	HG00514	all	call	0.9
DEL	6	7	4	11566	0.6	6e-04	0.0012	110	hgsvc	vg	HG00514	all	call	0.9
Total	6	7	14	29077	0.3	2e-04	4e-04	133	hgsvc	vg	HG00514	all	call	0.9
INS	0	0	10	17511	0	0	NA	133	hgsvc	vg	HG00514	all	call	0.9
DEL	6	7	4	11566	0.6	6e-04	0.0012	133	hgsvc	vg	HG00514	all	call	0.9
Total	6	7	14	29077	0.3	2e-04	4e-04	167	hgsvc	vg	HG00514	all	call	0.9
INS	0	0	10	17511	0	0	NA	167	hgsvc	vg	HG00514	all	call	0.9
DEL	6	7	4	11566	0.6	6e-04	0.0012	167	hgsvc	vg	HG00514	all	call	0.9
Total	6	7	13	29077	0.3158	2e-04	4e-04	180	hgsvc	vg	HG00514	all	call	0.9
INS	0	0	10	17511	0	0	NA	180	hgsvc	vg	HG00514	all	call	0.9
DEL	6	7	3	11566	0.6667	6e-04	0.0012	180	hgsvc	vg	HG00514	all	call	0.9
Total	4	5	10	29079	0.2857	2e-04	4e-04	250	hgsvc	vg	HG00514	all	call	0.9
INS	0	0	7	17511	0	0	NA	250	hgsvc	vg	HG00514	all	call	0.9
DEL	4	5	3	11568	0.5714	4e-04	8e-04	250	hgsvc	vg	HG00514	all	call	0.9
Total	2	2	7	29082	0.2222	1e-04	2e-04	350	hgsvc	vg	HG00514	all	call	0.9
INS	0	0	6	17511	0	0	NA	350	hgsvc	vg	HG00514	all	call	0.9
DEL	2	2	1	11571	0.6667	2e-04	4e-04	350	hgsvc	vg	HG00514	all	call	0.9
Total	1	1	6	29083	0.1429	0	0	450	hgsvc	vg	HG00514	all	call	0.9
INS	0	0	5	17511	0	0	NA	450	hgsvc	vg	HG00514	all	call	0.9
DEL	1	1	1	11572	0.5	1e-04	2e-04	450	hgsvc	vg	HG00514	all	call	0.9
Total	0	0	6	29084	0	0	NA	550	hgsvc	vg	HG00514	all	call	0.9
INS	0	0	5	17511	0	0	NA	550	hgsvc	vg	HG00514	all	call	0.9
DEL	0	0	1	11573	0	0	NA	550	hgsvc	vg	HG00514	all	call	0.9
Total	0	0	6	29084	0	0	NA	650	hgsvc	vg	HG00514	all	call	0.9
INS	0	0	5	17511	0	0	NA	650	hgsvc	vg	HG00514	all	call	0.9
DEL	0	0	1	11573	0	0	NA	650	hgsvc	vg	HG00514	all	call	0.9
Total	12139	11847	11029	13181	0.524	0.4733	0.4974	0	hgsvc	vg	HG00514	all	geno	0.9
INS	7009	6725	7231	8095	0.4922	0.4538	0.4722	0	hgsvc	vg	HG00514	all	geno	0.9
DEL	5130	5122	3798	5086	0.5746	0.5018	0.5357	0	hgsvc	vg	HG00514	all	geno	0.9
Total	10291	10128	8709	14900	0.5416	0.4047	0.4632	2	hgsvc	vg	HG00514	all	geno	0.9
INS	5706	5547	5619	9273	0.5038	0.3743	0.4295	2	hgsvc	vg	HG00514	all	geno	0.9
DEL	4585	4581	3090	5627	0.5974	0.4488	0.5125	2	hgsvc	vg	HG00514	all	geno	0.9
Total	8557	8447	6802	16581	0.5571	0.3375	0.4203	3	hgsvc	vg	HG00514	all	geno	0.9
INS	4533	4437	4420	10383	0.5063	0.2994	0.3763	3	hgsvc	vg	HG00514	all	geno	0.9
DEL	4024	4010	2382	6198	0.6282	0.3928	0.4834	3	hgsvc	vg	HG00514	all	geno	0.9
Total	6892	6817	5293	18211	0.5656	0.2724	0.3677	4	hgsvc	vg	HG00514	all	geno	0.9
INS	3479	3409	3471	11411	0.5006	0.23	0.3152	4	hgsvc	vg	HG00514	all	geno	0.9
DEL	3413	3408	1822	6800	0.652	0.3339	0.4416	4	hgsvc	vg	HG00514	all	geno	0.9
Total	5490	5421	4167	19607	0.5685	0.2166	0.3137	5	hgsvc	vg	HG00514	all	geno	0.9
INS	2645	2596	2760	12224	0.4894	0.1752	0.258	5	hgsvc	vg	HG00514	all	geno	0.9
DEL	2845	2825	1407	7383	0.6691	0.2767	0.3915	5	hgsvc	vg	HG00514	all	geno	0.9
Total	3635	3586	2775	21442	0.5671	0.1433	0.2288	7	hgsvc	vg	HG00514	all	geno	0.9
INS	1655	1625	1846	13195	0.4727	0.1096	0.1779	7	hgsvc	vg	HG00514	all	geno	0.9
DEL	1980	1961	929	8247	0.6806	0.1921	0.2996	7	hgsvc	vg	HG00514	all	geno	0.9
Total	2442	2410	1707	22618	0.5886	0.0963	0.1655	10	hgsvc	vg	HG00514	all	geno	0.9
INS	931	922	1175	13898	0.4421	0.0622	0.1091	10	hgsvc	vg	HG00514	all	geno	0.9
DEL	1511	1488	532	8720	0.7396	0.1458	0.2436	10	hgsvc	vg	HG00514	all	geno	0.9
Total	2072	2051	1346	22977	0.6062	0.0819	0.1443	12	hgsvc	vg	HG00514	all	geno	0.9
INS	728	726	936	14094	0.4375	0.049	0.0881	12	hgsvc	vg	HG00514	all	geno	0.9
DEL	1344	1325	410	8883	0.7662	0.1298	0.222	12	hgsvc	vg	HG00514	all	geno	0.9
Total	1733	1717	1046	23311	0.6236	0.0686	0.1236	14	hgsvc	vg	HG00514	all	geno	0.9
INS	579	578	717	14242	0.4468	0.039	0.0717	14	hgsvc	vg	HG00514	all	geno	0.9
DEL	1154	1139	329	9069	0.7782	0.1116	0.1952	14	hgsvc	vg	HG00514	all	geno	0.9
Total	848	838	441	24190	0.6579	0.0335	0.0638	21	hgsvc	vg	HG00514	all	geno	0.9
INS	255	251	301	14569	0.4586	0.0169	0.0326	21	hgsvc	vg	HG00514	all	geno	0.9
DEL	593	587	140	9621	0.809	0.0575	0.1074	21	hgsvc	vg	HG00514	all	geno	0.9
Total	319	317	210	24711	0.603	0.0127	0.0249	27	hgsvc	vg	HG00514	all	geno	0.9
INS	105	105	141	14715	0.4268	0.0071	0.014	27	hgsvc	vg	HG00514	all	geno	0.9
DEL	214	212	69	9996	0.7562	0.0208	0.0405	27	hgsvc	vg	HG00514	all	geno	0.9
Total	47	49	98	24979	0.3241	0.002	0.004	35	hgsvc	vg	HG00514	all	geno	0.9
INS	14	15	60	14805	0.1892	0.001	0.002	35	hgsvc	vg	HG00514	all	geno	0.9
DEL	33	34	38	10174	0.4648	0.0033	0.0066	35	hgsvc	vg	HG00514	all	geno	0.9
Total	14	15	54	25013	0.2059	6e-04	0.0012	45	hgsvc	vg	HG00514	all	geno	0.9
INS	4	4	32	14816	0.1111	3e-04	6e-04	45	hgsvc	vg	HG00514	all	geno	0.9
DEL	10	11	22	10197	0.3125	0.0011	0.0022	45	hgsvc	vg	HG00514	all	geno	0.9
Total	11	12	47	25016	0.1897	5e-04	0.001	50	hgsvc	vg	HG00514	all	geno	0.9
INS	2	2	26	14818	0.0714	1e-04	2e-04	50	hgsvc	vg	HG00514	all	geno	0.9
DEL	9	10	21	10198	0.3	0.001	0.002	50	hgsvc	vg	HG00514	all	geno	0.9
Total	6	7	39	25021	0.1333	3e-04	6e-04	60	hgsvc	vg	HG00514	all	geno	0.9
INS	2	2	21	14818	0.087	1e-04	2e-04	60	hgsvc	vg	HG00514	all	geno	0.9
DEL	4	5	18	10203	0.1818	5e-04	0.001	60	hgsvc	vg	HG00514	all	geno	0.9
Total	4	5	30	25023	0.1176	2e-04	4e-04	75	hgsvc	vg	HG00514	all	geno	0.9
INS	1	1	15	14819	0.0625	1e-04	2e-04	75	hgsvc	vg	HG00514	all	geno	0.9
DEL	3	4	15	10204	0.1667	4e-04	8e-04	75	hgsvc	vg	HG00514	all	geno	0.9
Total	3	4	23	25024	0.1154	2e-04	4e-04	90	hgsvc	vg	HG00514	all	geno	0.9
INS	1	1	13	14819	0.0714	1e-04	2e-04	90	hgsvc	vg	HG00514	all	geno	0.9
DEL	2	3	10	10205	0.1667	3e-04	6e-04	90	hgsvc	vg	HG00514	all	geno	0.9
Total	3	4	21	25024	0.125	2e-04	4e-04	99	hgsvc	vg	HG00514	all	geno	0.9
INS	1	1	12	14819	0.0769	1e-04	2e-04	99	hgsvc	vg	HG00514	all	geno	0.9
DEL	2	3	9	10205	0.1818	3e-04	6e-04	99	hgsvc	vg	HG00514	all	geno	0.9
Total	2	3	19	25025	0.0952	1e-04	2e-04	110	hgsvc	vg	HG00514	all	geno	0.9
INS	0	0	11	14820	0	0	NA	110	hgsvc	vg	HG00514	all	geno	0.9
DEL	2	3	8	10205	0.2	3e-04	6e-04	110	hgsvc	vg	HG00514	all	geno	0.9
Total	2	3	18	25025	0.1	1e-04	2e-04	133	hgsvc	vg	HG00514	all	geno	0.9
INS	0	0	10	14820	0	0	NA	133	hgsvc	vg	HG00514	all	geno	0.9
DEL	2	3	8	10205	0.2	3e-04	6e-04	133	hgsvc	vg	HG00514	all	geno	0.9
Total	2	3	18	25025	0.1	1e-04	2e-04	167	hgsvc	vg	HG00514	all	geno	0.9
INS	0	0	10	14820	0	0	NA	167	hgsvc	vg	HG00514	all	geno	0.9
DEL	2	3	8	10205	0.2	3e-04	6e-04	167	hgsvc	vg	HG00514	all	geno	0.9
Total	2	3	17	25025	0.1053	1e-04	2e-04	180	hgsvc	vg	HG00514	all	geno	0.9
INS	0	0	10	14820	0	0	NA	180	hgsvc	vg	HG00514	all	geno	0.9
DEL	2	3	7	10205	0.2222	3e-04	6e-04	180	hgsvc	vg	HG00514	all	geno	0.9
Total	2	3	12	25025	0.1429	1e-04	2e-04	250	hgsvc	vg	HG00514	all	geno	0.9
INS	0	0	7	14820	0	0	NA	250	hgsvc	vg	HG00514	all	geno	0.9
DEL	2	3	5	10205	0.2857	3e-04	6e-04	250	hgsvc	vg	HG00514	all	geno	0.9
Total	0	0	9	25028	0	0	NA	350	hgsvc	vg	HG00514	all	geno	0.9
INS	0	0	6	14820	0	0	NA	350	hgsvc	vg	HG00514	all	geno	0.9
DEL	0	0	3	10208	0	0	NA	350	hgsvc	vg	HG00514	all	geno	0.9
Total	0	0	7	25028	0	0	NA	450	hgsvc	vg	HG00514	all	geno	0.9
INS	0	0	5	14820	0	0	NA	450	hgsvc	vg	HG00514	all	geno	0.9
DEL	0	0	2	10208	0	0	NA	450	hgsvc	vg	HG00514	all	geno	0.9
Total	0	0	6	25028	0	0	NA	550	hgsvc	vg	HG00514	all	geno	0.9
INS	0	0	5	14820	0	0	NA	550	hgsvc	vg	HG00514	all	geno	0.9
DEL	0	0	1	10208	0	0	NA	550	hgsvc	vg	HG00514	all	geno	0.9
Total	0	0	6	25028	0	0	NA	650	hgsvc	vg	HG00514	all	geno	0.9
INS	0	0	5	14820	0	0	NA	650	hgsvc	vg	HG00514	all	geno	0.9
DEL	0	0	1	10208	0	0	NA	650	hgsvc	vg	HG00514	all	geno	0.9
Total	6576	6964	680	1167	0.9063	0.8565	0.8807	0	hgsvc	vg	HG00514	nonrep	call	0.9
INS	4179	4057	417	734	0.9093	0.8468	0.8769	0	hgsvc	vg	HG00514	nonrep	call	0.9
DEL	2397	2907	263	433	0.9011	0.8704	0.8855	0	hgsvc	vg	HG00514	nonrep	call	0.9
Total	5782	6276	596	1855	0.9066	0.7719	0.8338	2	hgsvc	vg	HG00514	nonrep	call	0.9
INS	3429	3416	346	1375	0.9083	0.713	0.7989	2	hgsvc	vg	HG00514	nonrep	call	0.9
DEL	2353	2860	250	480	0.904	0.8563	0.8795	2	hgsvc	vg	HG00514	nonrep	call	0.9
Total	5014	5551	454	2580	0.917	0.6827	0.7827	3	hgsvc	vg	HG00514	nonrep	call	0.9
INS	2792	2822	284	1969	0.9077	0.589	0.7144	3	hgsvc	vg	HG00514	nonrep	call	0.9
DEL	2222	2729	170	611	0.9289	0.8171	0.8694	3	hgsvc	vg	HG00514	nonrep	call	0.9
Total	4165	4710	320	3421	0.9287	0.5793	0.7135	4	hgsvc	vg	HG00514	nonrep	call	0.9
INS	2165	2204	213	2587	0.9104	0.46	0.6112	4	hgsvc	vg	HG00514	nonrep	call	0.9
DEL	2000	2506	107	834	0.9492	0.7503	0.8381	4	hgsvc	vg	HG00514	nonrep	call	0.9
Total	3358	3905	244	4226	0.9323	0.4803	0.634	5	hgsvc	vg	HG00514	nonrep	call	0.9
INS	1640	1686	169	3105	0.9066	0.3519	0.507	5	hgsvc	vg	HG00514	nonrep	call	0.9
DEL	1718	2219	75	1121	0.9582	0.6644	0.7847	5	hgsvc	vg	HG00514	nonrep	call	0.9
Total	2302	2861	134	5270	0.945	0.3519	0.5128	7	hgsvc	vg	HG00514	nonrep	call	0.9
INS	1039	1112	95	3679	0.9162	0.2321	0.3704	7	hgsvc	vg	HG00514	nonrep	call	0.9
DEL	1263	1749	39	1591	0.97	0.5237	0.6802	7	hgsvc	vg	HG00514	nonrep	call	0.9
Total	1724	2253	75	5878	0.9583	0.2771	0.4299	10	hgsvc	vg	HG00514	nonrep	call	0.9
INS	667	729	58	4062	0.92	0.1522	0.2612	10	hgsvc	vg	HG00514	nonrep	call	0.9
DEL	1057	1524	17	1816	0.9842	0.4563	0.6235	10	hgsvc	vg	HG00514	nonrep	call	0.9
Total	1521	1999	62	6132	0.9608	0.2458	0.3915	12	hgsvc	vg	HG00514	nonrep	call	0.9
INS	539	584	52	4207	0.912	0.1219	0.2151	12	hgsvc	vg	HG00514	nonrep	call	0.9
